单位代码,从业人员期末人数,其中：女性,其中：非全日制,在岗职工,劳务派遣人员,其他从业人员,从业人员平均人数,在岗职工,劳务派遣人员,其他从业人员,从业人员工资总额,在岗职工,基本工资,绩效工资,工资性津贴和补贴,其他工资,劳务派遣人员,其他从业人员,补充资料: 本表数据包合的单位数,统一社会信用代码
000000000,      5736,      2249,         0,      5050,        94,       592,      5736,      5046,        94,       596,    251015,    229029,    112737,     34385,     77939,      3968,      3269,     18717,       220,                  
011057010,        38,        13,         0,        38,         0,         0,        38,        38,         0,         0,      1588,      1588,       989,         0,       599,         0,         0,         0,         1,                  
011500510,        32,        11,         0,        32,         0,         0,        32,        32,         0,         0,      1211,      1211,       612,         0,       599,         0,         0,         0,         1,                  
011500529,        24,        12,         0,        24,         0,         0,        24,        24,         0,         0,      1203,      1203,       611,         0,       592,         0,         0,         0,         1,                  
011500537,        49,        17,         0,        49,         0,         0,        49,        49,         0,         0,      2550,      2550,      1224,         0,      1326,         0,         0,         0,         1,                  
011500545,        35,        11,         0,        35,         0,         0,        35,        35,         0,         0,      1869,      1869,       897,         0,       972,         0,         0,         0,         1,                  
011500553,        41,         8,         0,        41,         0,         0,        41,        41,         0,         0,      2173,      2173,       865,       130,      1178,         0,         0,         0,         1,11429021011057010e
01150057X,        14,         8,         0,        14,         0,         0,        14,        14,         0,         0,       602,       602,       302,         0,       300,         0,         0,         0,         1,                  
011500588,        14,         7,         0,        14,         0,         0,        14,        14,         0,         0,       600,       600,       350,         0,       250,         0,         0,         0,         1,                  
011500596,        30,        12,         0,        30,         0,         0,        30,        30,         0,         0,      1657,      1657,       895,         0,       762,         0,         0,         0,         1,                  
011500609,        11,         5,         0,        11,         0,         0,        12,        12,         0,         0,       560,       560,       300,         0,       260,         0,         0,         0,         1,                  
011500617,        18,         9,         0,        18,         0,         0,        18,        18,         0,         0,       959,       959,       499,         0,       460,         0,         0,         0,         1,                  
011500625,        10,         3,         0,        10,         0,         0,        10,        10,         0,         0,       532,       532,       255,         0,       277,         0,         0,         0,         1,                  
011500633,        10,         3,         0,        10,         0,         0,        10,        10,         0,         0,       420,       420,       220,         0,       200,         0,         0,         0,         1,                  
011500641,         8,         3,         0,         8,         0,         0,         8,         8,         0,         0,       380,       380,       240,         0,       140,         0,         0,         0,         1,                  
011500668,        18,         7,         0,        18,         0,         0,        18,        18,         0,         0,       955,       955,       456,         0,       499,         0,         0,         0,         1,                  
011500692,        14,         4,         0,        14,         0,         0,        14,        14,         0,         0,       512,       512,       248,         0,       264,         0,         0,         0,         1,                  
011500705,        82,        19,         0,        79,         2,         1,        82,        79,         2,         1,      4484,      4345,      2086,         0,      2259,         0,        91,        48,         1,                  
011500721,        38,        13,         0,        38,         0,         0,        38,        38,         0,         0,      1707,      1707,       819,         0,       888,         0,         0,         0,         1,                  
011500772,        13,         6,         0,        13,         0,         0,        13,        13,         0,         0,       715,       715,       395,         0,       320,         0,         0,         0,         1,                  
01150081X,        71,        25,         0,        63,         0,         8,        71,        63,         0,         8,      3849,      3465,      1663,         0,      1802,         0,         0,       384,         1,                  
011500828,        25,        13,         0,        21,         0,         4,        25,        21,         0,         4,       945,       864,       276,         0,       588,         0,         0,        81,         1,                  
011500836,        15,         7,         0,        15,         0,         0,        15,        15,         0,         0,       840,       840,       403,         0,       437,         0,         0,         0,         1,                  
011500844,        29,        13,         0,        29,         0,         0,        29,        29,         0,         0,      1740,      1740,       835,         0,       905,         0,         0,         0,         1,                  
011500852,         9,         5,         0,         9,         0,         0,         9,         9,         0,         0,       465,       465,       247,         0,       218,         0,         0,         0,         1,                  
011500887,        42,        21,         0,        42,         0,         0,        45,        45,         0,         0,      2139,      2139,      1027,         0,      1112,         0,         0,         0,         1,                  
011500895,       202,        58,         0,       165,        37,         0,       202,       165,        37,         0,      9804,      8250,      3960,         0,      4290,         0,      1554,         0,        10,                  
