数据处理地,组织机构代码,单位详细名称,1-本月;营业收入;千元,上年同期;营业收入;千元,1-本月;营业成本;千元,上年同期;营业成本;千元,1-本月;营业税金及附加;千元,上年同期;营业税金及附加;千元,1-本月;销售费用;千元,上年同期;销售费用;千元,1-本月;管理费用;千元,上年同期;管理费用;千元,1-本月;管理费用;税金;千元,上年同期;管理费用;税金;千元,1-本月;财务费用;千元,上年同期;财务费用;千元,1-本月;投资收益;千元,上年同期;投资收益;千元,1-本月;营业利润;千元,上年同期;营业利润;千元,1-本月;利润总额;千元,上年同期;利润总额;千元,1-本月;应付职工薪酬;千元,上年同期;应付职工薪酬;千元,1-本月;应交增值税;千元,上年同期;应交增值税;千元,1-本月;从事服务业活动的从业人员平均人数;人,上年同期;从事服务业活动的从业人员平均人数;人
429021000000,074078062,湖北合众运输有限责任公司,3258,1385,2470,1194,33,4,0,0,1097,302,85,73,17,0,0,0,-359,72,0,0,275,86,89,432,23,23
429021000000,565484903,湖北神农文化旅游有限公司,1643,216,78,89,6,11,1549,299,0,0,0,0,-1,-25,0,0,11,-158,13,-158,617,199,0,0,30,30
429021000000,667675663,湖北神农架中和旅游有限公司,3016,1793,2472,2840,90,60,54,56,1418,1290,0,0,805,796,0,0,-1823,-3052,-1235,-3249,1596,1222,10,36,102,118
429021000000,707087226,神农架林区邮政局,3312,2695,3530,3095,18,9,0,0,673,990,0,0,0,0,0,0,-910,-399,-921,-477,1426,1756,69,105,50,49
429021000000,760689808,中国电信股份有限公司神农架林区分公司,7131,6138,6362,5565,17,15,746,1100,688,701,37,42,7,9,0,0,-717,-1276,-849,-1362,1676,1605,166,199,69,31
429021100200,063523554,神农架林区大成通和物流有限公司,212,2218,198,2160,4,27,0,0,30,96,0,0,2,1,0,0,-22,-65,-22,-65,35,629,23,276,8,35
429021102001,066128568,神农架神兴旅行社有限公司,4877,4818,4652,4605,28,11,168,135,96,92,0,0,0,1,0,0,-66,-27,-65,-21,286,173,0,0,14,16
429021102001,68849161X,湖北神农架官门山旅游有限责任公司,1335,1163,21,21,61,61,2832,808,0,0,0,0,-1,0,0,0,-1578,273,-1472,273,1097,627,0,0,55,43
429021102207,688491636,湖北神农架神农顶旅游有限公司,4044,2473,66,66,84,32,5195,4387,0,0,0,0,-1,225,0,0,-1300,-2237,-1306,-2242,1696,1332,0,0,84,104
429021103200,565484970,湖北天燕旅游有限公司,4290,4032,1009,428,229,201,1827,2053,0,0,0,0,-1,-1,0,0,1226,1349,1232,2110,871,682,0,0,19,35
429021103201,559733870,湖北神农架天怡旅游发展有限公司,18704,15066,4770,4835,766,806,320,377,3663,324,14,6,4316,1877,0,0,4872,6848,4899,6928,2545,1991,0,0,35,23
429021105200,097274357,湖北神农架大九湖湿地公园旅游有限公司,863,863,0,0,21,6,2855,706,0,0,0,0,-1,-1,0,0,-2012,158,-2012,158,621,200,0,0,35,32
