数据处理地,组织机构代码,单位详细名称,本月;营业额总计;千元,1-本月;营业额总计;千元,上年同期;本月;营业额总计;千元,上年同期;1-本月;营业额总计;千元,本月;营业额总计;客房收入;千元,1-本月;营业额总计;客房收入;千元,上年同期;本月;营业额总计;客房收入;千元,上年同期;1-本月;营业额总计;客房收入;千元,本月;营业额总计;客房收入;其中：通过公共网络实现的客房收入;千元,1-本月;营业额总计;客房收入;其中：通过公共网络实现的客房收入;千元,上年同期;本月;营业额总计;客房收入;其中：通过公共网络实现的客房收入;千元,上年同期;1-本月;营业额总计;客房收入;其中：通过公共网络实现的客房收入;千元,本月;营业额总计;餐费收入;千元,1-本月;营业额总计;餐费收入;千元,上年同期;本月;营业额总计;餐费收入;千元,上年同期;1-本月;营业额总计;餐费收入;千元,本月;营业额总计;餐费收入;其中：通过公共网络实现的餐费收入;千元,1-本月;营业额总计;餐费收入;其中：通过公共网络实现的餐费收入;千元,上年同期;本月;营业额总计;餐费收入;其中：通过公共网络实现的餐费收入;千元,上年同期;1-本月;营业额总计;餐费收入;其中：通过公共网络实现的餐费收入;千元,本月;营业额总计;商品销售额;千元,1-本月;营业额总计;商品销售额;千元,上年同期;本月;营业额总计;商品销售额;千元,上年同期;1-本月;营业额总计;商品销售额;千元,本月;营业额总计;其他营业收入;千元,1-本月;营业额总计;其他营业收入;千元,上年同期;本月;营业额总计;其他营业收入;千元,上年同期;1-本月;营业额总计;其他营业收入;千元
429021100001,08722863X,神农架盛景怡家酒店有限公司,197,456,0,0,197,456,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0
429021100001,183712456,神农架宾馆有限责任公司,645,1894,555,1191,364,1000,259,652,15,21,15,22,281,894,296,539,,,0,0,,,0,0,,,0,0
429021102001,309856931,神农架康帝君兰酒店有限公司,667,1188,0,0,502,869,0,0,199,247,0,0,165,319,0,0,0,0,0,0,0,0,0,0,0,0,0,0
429021102001,571515091,湖北神农架旅游发展股份有限公司假日酒店,292,503,388,524,292,503,388,524,19,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
429021102001,576998838,湖北神农酒店有限公司,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
429021102001,585453928,神农架军飞翔实业有限公司,191,315,91,205,191,315,91,205,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0
429021102001,688491580,湖北神农旅游投资集团有限公司,85,184,139,211,27,85,98,145,0,0,0,0,57,98,37,61,0,0,0,0,1,1,4,5,0,0,0,0
429021102001,711913041,湖北神农架神农山庄有限责任公司,1382,2310,2702,3862,1099,1838,2093,2969,33,62,0,0,283,472,609,893,0,0,0,0,0,0,0,0,0,0,0,0
429021102001,780940617,湖北神旅酒店管理有限公司国源宾馆,85,184,95,139,27,85,68,98,0,0,0,0,57,98,25,37,0,0,0,0,1,1,2,4,0,0,0,0
429021105200,573735717,神农架大九湖湿地公园管理局培训中心,0,0,120,250,,,70,150,,,0,0,,,50,100,,,0,0,,,0,0,,,0,0
